id,label,boat
1964,composite_deck,DEV6
2214,composite_deck,S1001
2215,composite_deck,S1002
2464,composite_deck,S1003
2511,composite_deck,S1003
2533,composite_deck,S1004
2535,composite_deck,S1004
2615,composite_deck,S1006
2534,composite_deck,S1005
1569,composite_hull,DEV6
1647,composite_hull,DEV6
1633,composite_hull,S1001
1762,composite_hull,S1001
1881,composite_hull,S1002
2013,composite_hull,S1002
2237,composite_hull,R&D
2451,composite_hull,S1003
2306,composite_hull,S1003
2497,composite_hull,S1004
2526,composite_hull,S1004
2567,composite_hull,S1005
1566,composite_subassembly,DEV6
1575,composite_subassembly,DEV6
1595,composite_subassembly,S1001
1625,composite_subassembly,S1001
1605,composite_subassembly,S1002
1626,composite_subassembly,S1002
2043,composite_subassembly,R&D
2247,composite_subassembly,R&D
2360,composite_subassembly,S1003
2361,composite_subassembly,S1003
2044,composite_subassembly,S1004
2321,composite_subassembly,S1004
2045,composite_subassembly,S1006
2569,composite_subassembly,S1006
2836,composite_subassembly,S1005
1963,composite_subassembly,DEV6
2137,composite_subassembly,S1001
2431,composite_subassembly,S1002
2471,composite_subassembly,S1003
2311,composite_subassembly,DEV6
2312,composite_subassembly,S1001
2370,composite_subassembly,S1003
1983,composite_subassembly,DEV6
1876,composite_subassembly,S1001
2440,composite_subassembly,S1002
2450,composite_subassembly,S1003
2617,composite_subassembly,S1004
2826,composite_subassembly,S1005
2637,composite_subassembly,S1006
2225,composite_subassembly,DEV6
2441,composite_subassembly,S1002
2448,composite_subassembly,S1003
2598,composite_subassembly,S1004
2616,composite_subassembly,S1005
2825,composite_subassembly,S1006
2357,composite_subassembly,DEV6
2438,composite_subassembly,S1002
2439,composite_subassembly,S1003
2618,composite_subassembly,S1004
2696,composite_subassembly,S1005
2827,composite_subassembly,S1006
2433,composite_subassembly,S1001
2434,composite_subassembly,S1002
2435,composite_subassembly,S1003
2436,composite_subassembly,S1004
2157,composite_subassembly,DEV6
2148,composite_subassembly,DEV6
2446,composite_subassembly,S1001
2848,composite_subassembly,S1003
2028,composite_hardtop,S1001
2279,composite_hardtop,S1002
2486,composite_hardtop,S1003
2847,composite_hardtop,S1004
2335,final_integration,DEV6
