id,name,family
171,CreateABomForPartInventory,ABomItem
300,CreateABomItem,ABomItem
298,DeleteABomItem,ABomItem
172,InstallKitOnAbomItemChildren,ABomItem
299,UpdateABomItem,ABomItem
302,CreateAnalyticsCredential,AnalyticsCredential
301,DeleteAnalyticsCredential,AnalyticsCredential
126,CreateAPIKey,APIKeyObject
127,DeleteAPIKey,APIKeyObject
128,UpdateAPIKey,APIKeyObject
304,CreateBarcodeLabel,BarcodeLabel
303,UpdateBarcodeLabel,BarcodeLabel
306,CreateBarcodeTemplate,BarcodeTemplate
305,UpdateBarcodeTemplate,BarcodeTemplate
309,CreateComment,Comment
307,DeleteComment,Comment
308,UpdateComment,Comment
312,CreateContact,Contact
310,DeleteContact,Contact
311,UpdateContact,Contact
315,CreateCurrency,Currency
313,DeleteCurrency,Currency
314,UpdateCurrency,Currency
318,CreateDatagridColumn,DatagridColumn
316,DeleteDatagridColumn,DatagridColumn
238,ReorderDatagridColumn,DatagridColumn
317,UpdateDatagridColumn,DatagridColumn
321,CreateDatagridRow,DatagridRow
319,DeleteDatagridRow,DatagridRow
237,ReorderDatagridRow,DatagridRow
320,UpdateDatagridRow,DatagridRow
239,SetDatagridValue,DatagridValue
196,CreateAsset,FileAttachment
195,CreateFileAttachment,FileAttachment
198,DeleteAsset,FileAttachment
197,DeleteFileAttachment,FileAttachment
324,CreateIntegration,Integration
322,DeleteIntegration,Integration
323,UpdateIntegration,Integration
325,CreateInvite,Invite
199,ResendInvite,Invite
200,RevokeInvite,Invite
134,CreateIssue,Issue
148,UpdateIssue,Issue
327,CreateIssueApproval,IssueApproval
326,UpdateIssueApproval,IssueApproval
330,CreateIssueApprovalRequest,IssueApprovalRequest
328,DeleteIssueApprovalRequest,IssueApprovalRequest
329,UpdateIssueApprovalRequest,IssueApprovalRequest
242,UpdateIssueAttribute,IssueAttribute
332,CreateIssueRelation,IssueRelation
331,DeleteIssueRelation,IssueRelation
224,AddLabelToItem,Label
335,CreateLabel,Label
333,DeleteLabel,Label
225,RemoveLabelFromItem,Label
334,UpdateLabel,Label
135,CreateLocation,Location
336,DeleteLocation,Location
149,UpdateLocation,Location
243,UpdateLocationAttribute,LocationAttribute
339,CreateLocationSubtype,LocationSubtype
337,DeleteLocationSubtype,LocationSubtype
338,UpdateLocationSubtype,LocationSubtype
165,CreateMBomItem,MBomItem
167,DeleteMBomItem,MBomItem
166,UpdateMBomItem,MBomItem
168,CreateMBomSubstitute,MBomSubstitute
169,CreateMBomSubstitutes,MBomSubstitute
170,DeleteMBomSubstitute,MBomSubstitute
215,DispatchNotification,MessageResponse
341,CreateMRPJob,MRPJob
340,UpdateMRPJob,MRPJob
264,CreateOrganizationGlobalUniqueSerialNumberScheme,Organization
261,CreateOrganizationPartRevisionScheme,Organization
266,DeleteOrganizationGlobalUniqueSerialNumberScheme,Organization
287,DeleteOrganizationIssueAttributes,Organization
283,DeleteOrganizationLocationAttributes,Organization
281,DeleteOrganizationPartAttributes,Organization
282,DeleteOrganizationPartInventoryAttributes,Organization
289,DeleteOrganizationPartKitAttributes,Organization
290,DeleteOrganizationPartKitItemAttributes,Organization
263,DeleteOrganizationPartRevisionScheme,Organization
284,DeleteOrganizationProcedureAttributes,Organization
285,DeleteOrganizationPurchaseOrderAttributes,Organization
288,DeleteOrganizationPurchaseOrderLineAttributes,Organization
291,DeleteOrganizationReceiptAttributes,Organization
292,DeleteOrganizationRunAttributes,Organization
293,DeleteOrganizationRunStepAttributes,Organization
294,DeleteOrganizationStepAttributes,Organization
286,DeleteOrganizationSupplierAttributes,Organization
260,UpdateOrganization,Organization
265,UpdateOrganizationGlobalUniqueSerialNumberScheme,Organization
273,UpdateOrganizationIssueAttributes,Organization
269,UpdateOrganizationLocationAttributes,Organization
267,UpdateOrganizationPartAttributes,Organization
